jenis_kelamin,umur,jml_pinjaman,jkw,jml_angsuran_per_bulan,type_pinjaman,jenis_pinjaman,bi_sektor_ekonomi,col,bi_golongan_debitur,bi_gol_penjamin,saldo_nominatif,tunggakan_pokok,tunggakan_bunga,status kredit
0,27.0,2000000.0,16.0,140000.0,100,301,6000.0,1,874,0,1125000.0,0.0,0.0,LANCAR
1,31.0,1500000.0,20.0,86250.0,100,301,6000.0,1,874,0,1050000.0,0.0,0.0,LANCAR
0,29.0,1000000.0,100.0,11500.0,100,301,6000.0,1,874,0,686500.0,0.0,0.0,LANCAR
1,32.0,800000.0,80.0,11600.0,100,301,6000.0,1,874,0,592000.0,102000.0,17600.0,MACET
1,41.0,4000000.0,24.0,196666.82,100,301,6000.0,1,874,0,3333333.36,333333.32,60000.0,MACET
1,40.0,1500000.0,20.0,86250.0,100,301,6000.0,1,874,0,1045500.0,0.0,0.0,LANCAR
0,21.0,1500000.0,5.0,345000.0,100,301,6000.0,1,874,0,900000.0,0.0,0.0,LANCAR
0,41.0,2000000.0,24.0,98333.41,100,301,6000.0,1,874,0,1833333.34,333333.32,60000.0,MACET
0,32.0,1500000.0,5.0,345000.0,100,301,6000.0,1,874,0,900000.0,0.0,0.0,LANCAR
0,40.0,1000000.0,3.0,363333.34,100,301,6000.0,1,874,0,666000.0,0.0,0.0,LANCAR
0,27.0,1000000.0,3.0,363333.34,100,301,6000.0,1,874,0,665000.0,0.0,0.0,LANCAR
1,38.0,1500000.0,120.0,14750.0,100,301,6000.0,1,874,0,1398000.0,235500.0,42750.0,MACET
0,38.0,5000000.0,2.0,2650000.0,100,301,6000.0,1,874,0,2500000.0,0.0,0.0,LANCAR
1,42.0,1500000.0,5.0,345000.0,100,301,6000.0,1,874,0,1200000.0,0.0,0.0,LANCAR
0,27.0,1000000.0,12.0,90833.37,100,301,6000.0,1,874,0,750000.01,83333.33,7500.0,LANCAR
0,30.0,1500000.0,5.0,345000.0,100,301,6000.0,1,874,0,1500000.0,0.0,0.0,LANCAR
0,25.0,500000.0,8.0,67500.0,100,301,6000.0,1,874,0,248000.0,0.0,0.0,LANCAR
0,48.0,1500000.0,1.0,1545000.0,100,301,6000.0,1,874,0,1500000.0,0.0,0.0,LANCAR
1,33.0,3500000.0,8.0,542500.0,100,301,6000.0,1,874,0,3500000.0,0.0,0.0,LANCAR
1,39.0,1000000.0,12.0,90833.37,100,301,6000.0,1,874,0,750000.01,83333.33,7500.0,LANCAR
0,34.0,1000000.0,12.0,90833.37,100,301,6000.0,1,874,0,833166.67,166499.99,15000.0,LANCAR
0,32.0,2000000.0,6.0,393333.35,100,301,6000.0,1,874,0,2000000.0,0.0,0.0,LANCAR
0,28.0,1000000.0,12.0,90833.37,100,301,6000.0,1,874,0,666000.0,0.0,0.0,LANCAR
1,37.0,1500000.0,16.0,105000.0,100,301,6000.0,1,874,0,1218750.0,93750.0,11250.0,LANCAR
0,37.0,10000000.0,12.0,1133333.37,100,301,6000.0,1,874,0,10000000.0,0.0,0.0,LANCAR
